Comapany_Name,Ticker,year,Full_Time_Eployment,Total_Revenue,Gross_Profit,Operating_Income,Net_Income
Apple,AAPL,2025,166000,416161000000.0,195201000000.0,133050000000.0,112010000000.0
Apple,AAPL,2024,166000,391035000000.0,180683000000.0,123216000000.0,93736000000.0
Apple,AAPL,2023,166000,383285000000.0,169148000000.0,114301000000.0,96995000000.0
Apple,AAPL,2022,166000,394328000000.0,170782000000.0,119437000000.0,99803000000.0
Google,GOOGL,2025,194668,402836000000.0,240301000000.0,129039000000.0,132170000000.0
Google,GOOGL,2024,194668,350018000000.0,203712000000.0,112390000000.0,100118000000.0
Google,GOOGL,2023,194668,307394000000.0,174062000000.0,84293000000.0,73795000000.0
Google,GOOGL,2022,194668,282836000000.0,156633000000.0,74842000000.0,59972000000.0
Amazon,AMZN,2025,1575000,716924000000.0,360510000000.0,79975000000.0,77670000000.0
Amazon,AMZN,2024,1575000,637959000000.0,311671000000.0,68593000000.0,59248000000.0
Amazon,AMZN,2023,1575000,574785000000.0,270046000000.0,36852000000.0,30425000000.0
Amazon,AMZN,2022,1575000,513983000000.0,225152000000.0,12248000000.0,-2722000000.0
Meta,META,2025,77986,200966000000.0,164791000000.0,83276000000.0,60458000000.0
Meta,META,2024,77986,164501000000.0,134340000000.0,69380000000.0,62360000000.0
Meta,META,2023,77986,134902000000.0,108943000000.0,46751000000.0,39098000000.0
Meta,META,2022,77986,116609000000.0,91360000000.0,28944000000.0,23200000000.0
Microsoft,MSFT,2025,228000,281724000000.0,193893000000.0,128528000000.0,101832000000.0
Microsoft,MSFT,2024,228000,245122000000.0,171008000000.0,109433000000.0,88136000000.0
Microsoft,MSFT,2023,228000,211915000000.0,146052000000.0,88523000000.0,72361000000.0
Microsoft,MSFT,2022,228000,198270000000.0,135620000000.0,83383000000.0,72738000000.0
NVIDIA,NVDA,2026,42000,215938000000.0,153463000000.0,130387000000.0,120067000000.0
NVIDIA,NVDA,2025,42000,130497000000.0,97858000000.0,81453000000.0,72880000000.0
NVIDIA,NVDA,2024,42000,60922000000.0,44301000000.0,32972000000.0,29760000000.0
NVIDIA,NVDA,2023,42000,26974000000.0,15356000000.0,5577000000.0,4368000000.0
